star_id,stellar_magnitude,sp_type5,sp_type_value5,m_star,r_star,teff,lum,dilution,noise1,n_planets,planet_id,radius,rprs,period_days,t_dur,T0,cosi,a,e,w,impact,transiting,n1,tcen1,N1,SNR1,detectable1,RA,Dec,lon,lat,max_sectors,priority,prior,sec1,sec2,sec3,sec4,sec5,sec6,sec7,sec8,sec9,sec10,sec11,sec12,sec13,sec14,sec15,sec16,sec17,sec18,sec19,sec20,sec21,sec22,sec23,sec24,sec25,sec26,sini,t_in,t_in/t_dur,obs_time
557804,9.862999900000002,G,3,0.92000002,644071485.3302,5343.0,0.62964654,0.28475413,0.0010406679644251267,1,0,20361716.0,0.02958211951795202,36.062017096526475,307.7316613814582,1339.2443506113214,0.01,31134159657.035107,0.07590799175755923,-3.078760800517997,0.4798148553899641,1,1,1627.7404873835328,147,7.935696210734255,1,218.853501023228,-63.314103859437104,240.329652525412,-45.046988152761,1.0,1,5906.121831011986,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,11.533826463514556,0.03748014231534482,
602565,12.1804,A,1,1.67,1178472144.0,7356.0,7.57342,0.40447858,0.0009390002615475424,1,0,66608805.0,0.05288850667745852,17.422753230960748,407.8659403252301,1336.114350611321,0.01,23384308937.18121,0.053957602954611335,-0.3141592653589793,0.19991560451370802,1,1,1614.8784023066935,14,7.936075558827933,1,208.972239386194,-54.0786936262113,228.63334546325802,-39.0471536216896,1.0,0,682.8500891636212,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,21.753092644294114,0.05333392787578271,
624764,12.6165,G,3,1.08,1153927596.1000001,5920.1899,3.0464034,0.15570295,0.0012346155691045856,3,0,101069544.0,0.08195788275469551,26.869634001260422,434.6678934318772,1346.164350611321,0.03,26993359890.418613,0.08343340913181205,1.7907078125461822,0.6402877552827501,1,1,1614.8606906239254,14,17.614385945952208,1,205.362414910685,-38.630616264322796,218.19255441689998,-26.0834019918616,1.0,0,536.007019301745,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9995498987044118,56.459567131152916,0.129891275579114,36.32399761488375
624770,10.5058,K,4,0.76999998,477197750.1649,4781.0,0.22159456,0.0028314807,0.001420664225146154,1,0,16921376.0,0.033180755645611563,33.08337856405665,208.58783750257555,1340.0543506113208,0.01,27702013306.946068,0.13440446832192998,-2.1991148575128547,0.6354693524447084,1,1,1604.721379123774,104,7.880791017874263,1,206.79597087444,-31.420889910287,216.33854514090697,-18.982211587796304,1.0,1,6783.856768786113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,11.234153104387834,0.0538581407185312,10.07728461503217
670813,12.813,G,3,1.01,1650591287.1,5682.0,5.2889829000000015,0.291798,0.001402465655189301,2,0,114556950.99999999,0.0649427809350446,36.62854106085428,575.7125466340602,1330.664350611321,0.04,32453489303.978413,0.04858138750232989,-0.1570796326794898,0.7855505293100092,1,1,1623.6926790981556,19,10.14732853358034,1,203.601242818801,-70.8480162641557,238.793291547283,-54.5332657264141,2.0,0,390.06187720389283,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9991996797437437,90.5652839434918,0.15730990139608292,
675563,11.9742,G,3,1.0700001,1847093727.4,5882.0,7.606177799999997,0.26769191,0.0008285092830853388,2,1,134211486.0,0.06799073489336843,59.58705900131579,1111.6915786749146,1346.894350611321,0.01,45761870299.86315,0.051623882026456805,-0.7539822368615503,0.25449924009759145,1,1,1644.8296456178998,38,27.13189772963438,1,219.219559613965,-49.214727070495215,233.34771867250802,-32.0317631442923,1.0,0,394.40216176673965,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,77.58330959263272,0.06978851965858054,
771867,9.326299699999998,F,2,1.3200001,917370734.9000001,6466.0,2.7398098,0.044893291,0.0002123110625616648,2,1,34397029.0,0.03508528711904022,17.958833557265308,340.14349572185006,1340.084350611321,0.01,22062324307.49259,0.07059320624734604,-0.5340707511102649,0.2466241891551845,1,1,1609.4668539703002,12,19.22189180067888,1,204.460436455778,-50.05609305250921,223.20379975744493,-36.7026339935574,1.0,0,4397.2394902136975,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,12.403065103214233,0.03646421366045098,
773202,12.6645,F,2,1.26,1246465201.6,6346.0,4.6929998,0.46334323,0.0012733513990462256,2,0,105815939.00000001,0.0794364661318505,17.908900182702567,337.74741750585633,1331.1943506113212,0.04,21682564728.913544,0.10753314408261756,-1.9792033717615696,0.7581759415352465,1,1,1635.6456537172655,12,11.731025577321642,1,199.14764772620202,-76.74748195073438,244.604670346472,-59.67086983965979,1.0,0,462.915324660268,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9991996797437437,58.18443514891546,0.17227203564896712,
774710,12.9295,A,1,1.74,1312274357.8,7523.0,10.273091,0.08406288199999999,0.0015145077710526909,2,0,85001882.0,0.06061120003392024,42.44730127856955,591.0148365499994,1351.404350611321,0.01,42923091874.60342,0.19920264231107412,2.8274333882308134,0.29399746309788943,1,1,1606.088158282738,19,9.753412341737869,1,199.295898414734,-56.2817362781225,223.61326439165,-43.643945098965,1.0,0,360.29778787779463,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,37.745903314310794,0.06386625340008284,
775077,11.2524,F,2,1.25,1100164673.1,6330.0,3.6192284,0.025210774,0.0005457197051550144,1,0,38194145.0,0.03248538970275462,23.12912719519249,452.27230369968606,1347.2243506113214,0.01,25645865479.07644,0.11007653213169197,-2.764601535159018,0.2384709632666108,1,1,1578.5156225632459,15,7.305315791903873,1,191.710750742653,-30.803997447193602,203.382823661986,-23.6093105559558,1.0,0,1302.6084372686926,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,15.227474822561653,0.033668820084709124,12.99278375634782
784617,9.0551004,M,5,0.472716,330302574.5251,3692.0,0.037753623,0.06007934,0.0007367445851679641,3,2,17966220.0,0.05089718210608972,38.405536191082575,147.1061119270041,1342.2643506113209,0.01,26005817780.52864,0.04621313690687076,-2.8902652413026098,0.7896879972016796,1,1,1649.5086401399815,74,28.533037931330856,1,195.331861816762,-63.195051572497604,226.88043480296096,-50.485732836624095,2.0,1,32125.197206563218,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,18.659213119354554,0.12684186180254353,
810317,11.9023,G,3,1.05,601316392.1451,5818.0,0.77159387,0.39147371,0.0007936146071556147,1,0,72100607.0,0.11219793448629063,27.21213066205735,166.19798382604534,1330.9643506113212,0.02,26967829310.044342,0.06995191683044431,2.8902652413026093,0.8716813948768082,1,1,1603.0856572318958,3,19.74447965675216,1,197.462029504654,-56.2149393187119,222.360494950852,-44.1206424671593,1.0,0,2216.694523914038,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,72.65603646111566,0.4371655707758925,
817422,10.4571,F,2,1.61,1864335489.8509998,7198.0,17.377403,0.054661922,0.0003578928545284073,1,0,82676467.0,0.04149605653427603,27.960489910125393,674.2238461834183,1352.624350611321,0.03,31665012881.945705,0.03184421689583354,3.078760800517997,0.5047473674939055,1,1,1604.2687598024506,23,21.878184346991702,1,188.116772756375,-49.236467318649396,210.83478090238498,-41.165790266972095,1.0,0,900.3905696448317,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9995498987044118,36.34907923652214,0.05391247942694925,6.692369481457634
851699,12.8948,F,2,1.48,1337180570.9,6832.0,7.2553458,0.30829677,0.001480079134064086,2,0,115123970.0,0.08056096946604023,25.797749678004408,511.40677005105374,1338.2443506113214,0.02,29179845000.865307,0.041767223161914516,-2.042035224833365,0.4496147949945125,1,1,1622.0195970693703,17,13.819191119286131,1,201.73421428124496,-56.986509650729104,225.70183863138197,-43.55847480960249,1.0,0,358.42644366774954,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,48.974589634731956,0.09576445307879446,17.900605688611122
871035,9.8478003,K,4,0.63999999,438855688.79510003,4064.0,0.097846843,0.10209834,0.00103342153706785,1,0,23368828.0,0.049826936184959744,15.151040760276235,190.9268133152367,1326.374350611321,0.01,15474958489.001997,0.03978614173842912,0.0,0.3498042594383535,1,1,1614.2441250565678,80,19.497346245360145,1,199.744694700214,-41.6258560267266,215.17918122570703,-30.597273725178198,1.0,1,10574.396443836366,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,10.48129995643587,0.05489695121622513,
875575,10.8536,F,2,1.1799999,2419025510.6,6186.0,15.959058,0.25647554,0.00043938453187341767,1,0,77707087.0,0.030058628742952762,23.42579530910556,822.4014573606958,1334.094350611321,0.06,25372586720.799374,0.05081571870031775,-0.18849555921538771,0.6296701619300883,1,1,1615.203894320587,27,8.503963911914619,1,194.007918395085,-57.802429732805,221.34677003027096,-46.4758045422536,1.0,0,496.20899116441467,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9981983770774224,39.8110497335497,0.04840829181080724,16.835371628316334
902327,12.7253,G,3,1.0700001,732191197.4,5893.0,1.2041594,0.055848211,0.0013244660694171034,2,0,87792380.0,0.11219701513601242,31.312410372325264,260.10863690560535,1325.5243506113209,0.02,29799807966.027737,0.10637133116633717,0.5340707511102646,0.7585443113560066,1,1,1607.3360439622488,9,27.0048354823133,1,190.557473451963,-47.9856511119912,211.805308966408,-39.263481987754396,1.0,0,988.5359635480896,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,62.09948867699542,0.23874443161813041,7.780353900259989
917411,11.9886,F,2,1.33,775688392.7999998,6495.0,1.9942319,0.35806394,0.0008357123646803891,1,0,58205456.00000001,0.0702142703433859,43.34512376034235,351.98323342638844,1342.5343506113209,0.01,39797143812.69982,0.03858898431233021,0.21991148575128566,0.5047568237551853,1,1,1602.6050931733755,11,14.406884392722153,1,194.115794813846,-53.3424837361979,218.020117986612,-42.695560478903296,1.0,0,1436.7536158265004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,31.539193964224566,0.08960425091049251,
932827,12.9361,F,2,1.27,1569508661.749,6361.0,7.5113573,0.39243159,0.001521161348871902,2,1,123616512.99999999,0.0736990272846374,93.95534753421877,977.9692419724354,1416.024350611321,0.01,65638215961.005135,0.032768257988724334,-1.884955592153876,0.4284318536253948,1,1,1603.9350456797586,33,14.730969564878487,1,181.871407211468,-54.573149665209506,210.51711750117497,-47.738756746140496,1.0,0,274.2516244389209,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,84.0794751235679,0.08597353732106203,
942271,13.232,K,4,0.63871598,462953016.81000006,3946.0,0.096781,0.0024259812,0.0018577679675808702,1,0,115952200.0,0.2343640846054345,15.945501944394579,182.41124377369596,1330.564350611321,0.02,16000587033.864182,0.1503681607618171,-0.3455751918948772,0.7073041214153638,1,1,1585.6923817216355,6,72.24602507785572,1,176.164623197345,-25.4589145528698,187.310932552941,-24.734609884612304,1.0,0,1401.7585627856638,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,76.0012929690884,0.4166480716691869,33.58303588074127
958335,11.674,F,2,1.22,1466434079.749,6265.0,6.1701727,0.02328695,0.0006937274872379142,2,0,88983757.0,0.05678023388737888,45.0769970784634,675.7656778402006,1350.874350611321,0.02,39691525173.56915,0.028877049644439882,2.8274333882308134,0.5326599412333811,1,1,1621.3363330821012,23,21.780705052393518,1,192.53918435453,-38.030447606436404,207.59964597533198,-29.8161070684861,1.0,0,665.8667754284987,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,51.295530286394495,0.07590727373183406,37.00159246816304
970335,10.6944,A,1,1.76,1236901939.1,7583.0,9.421567,0.16769205,0.0004041302508407653,3,0,73330210.0,0.05547491459064157,64.07216875858511,594.7621136847131,1345.7743506113209,0.01,56696776128.99424,0.024561147398674363,2.9216811678385075,0.4527366921151906,1,1,1602.0630256456616,19,28.426304324902762,1,175.75391292659,-51.9860054295673,203.852999881496,-47.8154407872179,2.0,0,2086.7037554107897,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,39.8919997180977,0.06707219373970529,19.788342583076396
992381,12.3688,F,2,1.23,1011417597.1,6295.3398,2.9924428,0.028218623,0.0010552592428195492,1,0,123527319.0,0.11428296365134925,25.79687224026095,297.99570344360814,1346.584350611321,0.03,27433902972.31473,0.00021946923570751164,0.7225663103256523,0.8083894506633427,1,1,1604.55307301393,10,38.06434475694164,1,198.152030628159,-35.52681486830651,210.95065485374002,-25.6123343143265,1.0,0,764.2142700026169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9995498987044118,88.32745244717265,0.29640512069962616,
